tissue	harvest	line	type	group	CGS	SMM	Met	Asp	Glu	Ala	Arg	Asn	Gln	Gly	His	Hser	Ile	Leu	Lys	Phe	Ser	Thr	Trp	Tyr	Val	SO4	NO3	Cys	GSH	Hcys
leaf	1m	CgSx4	sol	CgSx4_leaf.1m_sol	1.466787756	4.303853588	2.237605586	0.263549015	0.155202048	-0.499506466	-0.41947268	0.690267766	-0.354249976	-0.759759018	0.221888949	2.354112619	-0.097614485	-0.118732383	-0.290355111	-0.001134031	0.127622869	0.027114056	0.319848372	-0.040256807	-0.150289324	0.582063863	-0.071284241	0.205269899	-0.342401602	0.343941227
leaf	2m	CgSx4	sol	CgSx4_leaf.2m_sol	1.61299	0.856677815	-0.184453914	-0.472933863	-0.152591528	-0.185607973	0.336817492	1.058403689	-0.43883002	-0.126449483	1.234218396	0.491051622	-0.130363929	-0.341653192	-0.784697216	0.078574827	-0.798345475	-0.688806338	2.106131591	-0.314459066	-0.269064211	0.384373393	-0.595063121	-0.605338894	-0.96579534	-0.764689364
leaf	3m	CgSx4	sol	CgSx4_leaf.3m_sol	1.979190578	0.359387455	-0.005725489	-0.407737511	-0.110977411	0.320365604	0.210388557	0.360251446	-0.646593596	-0.011494917	0.523114458	0.131310998	-0.479317645	-1.226018569	-0.831529609	-0.650280499	-0.160768412	-0.747118214	0.015700984	-0.616138595	-0.57188339	1.058121828	-0.040203645	-0.304954879	-0.721997956	0.466143109
seed	mature	CgSx4	sol	CgSx4_seed_sol	NA	NA	0.163385173	0.796427537	0.144619617	0.619446609	0.142058278	-0.148620026	-1.313848733	0.022855571	-0.06296875	NA	0.790435149	0.46886067	0.308864352	0.161120127	0.284385241	0.073574901	1.428455194	0.743607803	0.464833643	0.272286474	NA	-0.016592066	0.156919593	NA
leaf	1m	CgSx4	prot	CgSx4_leaf.1m_prot	NA	NA	-0.105462946	-0.073866726	-0.01274226	-0.115967911	-0.019575808	NA	NA	-0.036545146	NA	NA	-0.002629514	-0.028854138	-0.007742223	-0.018180789	0.091937017	0.050494917	NA	-0.075136102	-0.011986557	NA	NA	NA	NA	NA
leaf	2m	CgSx4	prot	CgSx4_leaf.2m_prot	NA	NA	-0.529565337	-0.436323701	-0.480759004	-0.569297175	-0.524782392	NA	NA	-0.493456454	NA	NA	-0.457194734	-0.512300044	-0.521092207	-0.467949774	-0.379489043	-0.390552408	NA	-0.387291056	-0.441478599	NA	NA	NA	NA	NA
leaf	3m	CgSx4	prot	CgSx4_leaf.3m_prot	NA	NA	-0.495073575	-0.554044789	-0.599859447	-0.55672721	-0.373710271	NA	NA	-0.538450237	NA	NA	-0.677059976	-0.67158686	-0.412358697	-0.799256484	-0.477583741	-0.507785788	NA	-0.619385556	-0.605646547	NA	NA	NA	NA	NA
seed	mature	CgSx4	prot	CgSx4_seed_prot	NA	NA	0.309843783	0.007841307	-0.059428945	-0.046007966	0.067722458	NA	NA	0.007762166	NA	NA	-0.107657929	-0.082137666	-0.030642071	-0.001988567	0.032189288	0.009620807	NA	0.13138561	-0.15925488	NA	NA	NA	NA	NA
